id,group,gender,relationship_status,reunion_class,reunion_class_levels,n_children,children_range,children_range_levels,with_child,with_child_levels,income,working_range_levels,income_range,income_range_levels,achievement,achievement_min,joy,joy_min,meaningfulness,meaningfulness_work,meaningfulness_min,life_satisfaction,tqi,working_hours,working_range,reading_hours,catching_up_hours,social_media_hours,watching_tv_hours,exercising_hours,sleeping_hours,care_giving_hours,parting_hosting_hours,industry_graduation,industry_current,eating_with_family_hours,eating_with_others_hours,eating_alone_hours,watching_TV_with_family_hours,watching_TV_with_others_hours,watching_TV_alone_hours,hanging_out_alone_hours,hanging_out_with_family_hours,hanging_out_with_others_hours,chores_alone_hours,chores_with_others_hours,chores_with_family_hours,commuting_alone_hours,hobbies_hours,school_learning_hours,job_searching_hours,gaming_hours,napping_hours,therapy_hours,side_projects_hours,volunteering_hours,hobbies_subj_value,school_learning_subj_value,job_searching_subj_value,gaming_subj_value,napping_subj_value,therapy_subj_value,side_projects_subj_value,volunteering_subj_value,jam_type_distribution,achievement_behavioral,achievement_perceived,joy_gap,achievement_gap,meaningfulness_gap
182,HBS,Women,Married,20th,5,2,2,3,yes,1,4402093,3,More than 1M,5,32,24,75,42,94,24,25,7.9,7.9,52,45 - 55,0,3,7,4,11,54,11,5,Other,Healthcare,0.3,1,0.6,0.9,2,2.5,0.6,1.2,0.5,1.2,1.4,2.7,2.7,2,8.5,2.1,5.8,4.7,1.7,2.1,2,0.3,2.06,0.55,0.7,1.7,2.05,0.55,1,Purpose Seeker,70,1,2,-23,-5
183,IWF,Women,Married,30th,7,1,1,2,yes,1,1591729,1,More than 1M,5,82,93,74,28,70,93,59,4.4,4.4,30,0 - 35,10,1,4,2,3,54,4,5,Other,Consulting,2.8,1.9,0.1,0.9,2,0.4,0.3,2.3,0.2,0.3,1.2,2.4,1.6,9.3,15.8,0.3,6.2,4.8,0.3,1.2,3.9,2.3,2.46,0.1,0.75,1.7,0.35,0.3,1.95,Triumvirate,72,13,-17,18,11
184,HBS,Women,In a relationship,1st,1,0,0,1,no,2,2252809,2,More than 1M,5,64,73,70,85,91,73,89,5.9,5.9,37,35 - 45,2,6,0,7,4,55,6,3,Other,Healthcare,2.6,2.8,0.9,0.7,0.9,2.8,2.9,2.3,3,2,1.1,1.8,1.2,8.9,23.3,3,5,2.2,1.9,9.7,3.9,2.2,2.44,0.75,0.6,0.8,2.35,2.45,1.95,Striver,27,87,0,7,12
185,Xilio,Women,In a relationship,10th,3,3,3+,4,yes,1,711669,4,500K - 1M,4,55,67,97,22,81,67,48,3.7,3.7,56,Over 55,6,3,2,11,3,49,4,9,Consulting,Consulting,0.8,0.3,2,1.5,0.4,2.3,0.1,0.7,0.9,2.1,1.9,2,0.2,3.3,2.6,6.5,10.3,0.9,1.5,0.2,1.1,0.65,2.13,1.65,1.3,0.35,1.9,0.05,0.55,Joy Seeker,9,51,-17,-17,-25
186,IWF,Men,Married,40th+,9,3,3+,4,yes,1,3894822,2,More than 1M,5,52,14,76,40,64,14,92,8,8,42,35 - 45,4,5,1,8,7,48,2,3,Finance,Consulting,2,2.8,2.8,1.6,1.9,2.8,2.4,2.8,0.4,2.2,1.5,3,2.1,6.9,23.4,9.4,10.7,4.4,1.9,8,4.6,1.65,2.33,2.35,1.35,1.6,2.35,2,2.3,Triumvirate,62,56,-11,-17,-1
187,HBS,Women,Married,1st,1,4,3+,4,yes,1,1149043,4,More than 1M,5,31,62,32,97,21,62,12,4.6,4.6,61,Over 55,10,2,4,9,3,51,5,7,Other,Tech,2.5,2.1,2.6,1.1,0.4,2,2.4,1.8,0.7,2.2,2.5,0.3,2.1,8.4,17.2,8.7,7.1,0.9,1.4,7.9,3,2.05,2.41,2.2,0.9,0.3,1.7,1.95,1.5,Joy Seeker,37,83,-16,-22,10
188,Xilio,Men,Single,15th,4,1,1,2,yes,1,3359462,2,More than 1M,5,42,67,84,85,58,67,10,7,7,45,35 - 45,9,3,5,0,6,50,17,5,Tech,Consulting,1.7,0.2,2.3,1.1,1.7,1.1,0.9,1.1,2.8,0,2.6,2,1.8,6,1.7,7.7,7.1,4,0.7,3,1.9,1.4,2.28,1.9,0.9,1.45,0.9,0.75,0.95,Striver,51,62,-2,9,-9
189,Xilio,Men,Single,30th,7,0,0,1,no,2,2236903,4,More than 1M,5,12,73,71,86,90,73,99,5.2,5.2,71,Over 55,0,6,3,7,8,52,1,0,Consulting,Consulting,1.6,0.9,2.4,2.5,2.1,2.8,0.4,1.5,1.6,2.9,0.5,0.9,1.5,5.8,7.5,7.9,16.6,4.9,1.9,1.4,2.5,1.3,2.26,1.95,2.05,1.75,2.35,0.35,1.25,Flourisher,44,32,16,-9,15
190,HBS,Women,In a relationship,30th,7,3,3+,4,yes,1,1771093,1,More than 1M,5,76,89,36,16,80,89,74,4.3,4.3,35,0 - 35,1,8,0,9,7,53,17,9,Healthcare,Other,0.7,2.1,2,2.4,2.1,0.8,0.4,1.8,1.1,2.4,0.4,1.9,1.3,3.2,17.7,6.6,15.8,4.9,0.6,1.5,3,0.6,2.12,1.65,1.95,1.75,0.7,0.35,1.5,Purpose Seeker,24,30,-18,8,-2
191,IWF,Men,Married,25th,6,0,0,1,no,2,2588231,2,More than 1M,5,44,21,92,29,75,21,27,5.9,5.9,41,35 - 45,5,6,6,9,11,51,16,8,Healthcare,Finance,0.3,0.2,0.8,0.9,2.3,1,2.1,1.7,2.6,2.7,1.9,1.8,1.8,1.8,1.7,2.6,6.2,5.3,0.7,7,2.8,0.25,2.05,0.65,0.75,1.9,0.85,1.75,1.4,Flourisher,79,29,-2,-2,-24
192,HBS,Men,In a relationship,30th,7,0,0,1,no,2,4330385,2,More than 1M,5,62,14,72,60,71,14,53,8.6,8.6,43,35 - 45,10,10,2,10,5,55,18,8,Tech,Consulting,2.7,1.7,2.7,2.7,2.6,2.1,1.9,1.5,1.2,0,0.9,0.5,0.7,9.1,14.6,9.1,18.3,6.1,1.4,6.4,2.4,2.25,2.45,2.25,2.3,2.2,1.75,1.6,1.2,Purpose Seeker,59,49,-10,6,14
193,Xilio,Women,Single,25th,6,0,0,1,no,2,3110389,3,More than 1M,5,12,98,77,42,51,98,57,6.8,6.8,52,45 - 55,8,10,6,10,13,54,18,0,Finance,Tech,2.7,1,2,2.9,1.5,2.3,2.3,1.5,1,2.8,0.1,0.6,2.8,9.1,8.6,6.7,19.1,3.5,1.5,7.8,2.5,2.25,2.45,1.7,2.4,1.25,1.9,1.95,1.25,Purpose Seeker,32,45,0,-25,-11
194,HBS,Men,In a relationship,30th,7,4,3+,4,yes,1,1691909,2,More than 1M,5,52,71,97,71,56,71,40,4.4,4.4,41,35 - 45,5,2,5,6,12,51,3,9,Consulting,Finance,1.9,1.9,1.7,1,2.2,2.8,2.8,0.5,0.6,2.4,2.7,1.9,1.8,6.7,15.5,5.6,6.5,5.1,1.9,9.4,0.9,1.6,2.32,1.4,0.8,1.85,2.3,2.35,0.45,Striver,88,30,1,-18,6
195,IWF,Women,Married,15th,4,1,1,2,yes,1,2686138,1,More than 1M,5,40,10,21,66,99,10,17,6.3,6.3,32,0 - 35,8,0,6,5,9,54,15,6,Other,Other,1,0.1,0.3,1.1,1.9,0.6,2.1,2.4,1.1,2.5,0.7,0.4,0.9,4.1,1.1,1.1,7.1,4.3,0.4,6.9,4.1,0.85,2.17,0.3,0.9,1.55,0.5,1.75,2.05,Joy Seeker,52,16,11,19,13
196,IWF,Women,In a relationship,5th,2,4,3+,4,yes,1,140078,4,Less than 150K,1,25,57,65,35,83,57,28,3.3,3.3,77,Over 55,1,7,10,6,10,50,11,7,Finance,Other,1,2.6,1.3,1.5,0.6,2.4,0.5,1.6,1,0.3,2.8,0.8,1.3,4.1,21.8,4.5,10.1,1.3,1.6,1.6,2.7,0.85,2.17,1.1,1.25,0.45,2,0.4,1.35,Flourisher,62,40,-22,-3,-20
197,HBS,Men,Single,25th,6,1,1,2,yes,1,1945631,4,More than 1M,5,69,27,61,66,31,27,34,4.9,4.9,65,Over 55,6,0,0,5,1,49,7,2,Finance,Consulting,2.2,2.9,1.4,2.8,0.1,2.2,0.7,0.4,2,2.2,2.2,2.5,2.4,7.5,24.3,4.6,18.8,0.2,1.5,2.4,0.7,1.8,2.36,1.15,2.35,0.05,1.85,0.6,0.35,Joyful Striver,58,19,-2,14,-25
198,IWF,Women,In a relationship,10th,3,3,3+,4,yes,1,1434104,4,More than 1M,5,36,35,83,47,11,35,86,4.8,4.8,80,Over 55,0,9,1,9,11,53,10,7,Consulting,Consulting,2.7,2.9,2.6,2.6,0.9,0.2,2.5,2.3,0.9,2.9,2.3,1,0.5,9.1,24.2,8.6,17.5,2,0.1,8.4,3.8,2.25,2.45,2.15,2.2,0.7,0.15,2.1,1.9,Purposeful Striver,52,18,-7,-14,-3
199,HBS,Women,In a relationship,5th,2,4,3+,4,yes,1,2038187,3,More than 1M,5,56,41,84,60,18,41,85,5.5,5.5,47,45 - 55,7,3,7,0,10,54,14,2,Finance,Healthcare,2.7,2.2,1.6,0.3,1.3,1.2,0.6,2.8,1.7,2,0.6,1.5,0.9,9,18.7,5.5,2.1,3.1,0.8,2.1,4.7,2.2,2.44,1.35,0.25,1.1,0.95,0.5,2.35,Flourisher,12,1,10,-14,13
200,HBS,Men,Married,15th,4,4,3+,4,yes,1,1689066,3,More than 1M,5,55,81,94,68,13,81,64,4.4,4.4,52,45 - 55,6,4,8,4,15,49,16,8,Tech,Consulting,2.3,0.4,1.1,1.2,1.9,0.8,0.2,2.8,0.2,1.7,0.7,2.8,2,8,3.3,3.8,7.9,4.3,0.6,0.7,4.7,1.95,2.39,0.95,1,1.55,0.7,0.2,2.35,Joyful Striver,39,78,13,20,-9
201,HBS,Women,Married,10th,3,0,0,1,no,2,4203125,3,More than 1M,5,55,19,43,47,85,19,81,8.2,8.2,53,45 - 55,1,4,10,1,4,50,6,0,Healthcare,Tech,1.9,2.3,2.9,1.7,2.5,0.9,2.1,1.1,0.6,2.8,1.6,0.7,0.9,6.8,19,9.8,11.1,5.9,0.6,7,1.8,1.6,2.32,2.45,1.4,2.1,0.75,1.75,0.9,Striver,2,47,-16,-11,8
202,HBS,Men,Single,30th,7,0,0,1,no,2,2178815,2,More than 1M,5,43,14,72,51,25,14,35,5.9,5.9,44,35 - 45,8,2,0,4,13,48,18,9,Finance,Healthcare,0.3,0.1,0.3,1.5,0.6,2.9,1.2,0.4,1.2,1.3,0.5,1.2,2.4,1.8,0.6,1.1,10.1,1.4,2,4,0.7,0.2,2.04,0.3,1.25,0.5,2.45,1,0.35,Striver,3,66,-1,15,15
203,IWF,Men,In a relationship,1st,1,3,3+,4,yes,1,4054066,4,More than 1M,5,65,88,76,88,63,88,47,8.4,8.4,71,Over 55,0,8,0,0,11,49,6,8,Consulting,Consulting,0.5,0.1,1.3,0.6,0.4,1.9,2.8,1.6,2.8,1.8,0.9,1.8,0.4,2.5,0.6,4.2,3.9,0.9,1.3,9.2,2.6,0.4,2.08,1.05,0.5,0.3,1.6,2.3,1.3,Joy Seeker,56,38,-8,-7,3
204,IWF,Men,In a relationship,30th,7,3,3+,4,yes,1,4536259,4,More than 1M,5,65,57,70,70,99,57,87,9,9,61,Over 55,2,8,2,6,12,54,3,8,Other,Healthcare,2.7,1,0.1,2.6,2.9,2.2,2,0.3,1.1,1.4,1,2.3,2.3,9.1,8.1,0.4,17.2,6.7,1.4,6.5,0.6,2.25,2.45,0.1,2.15,2.4,1.8,1.65,0.3,Purposeful Striver,81,51,-7,0,-17
205,HBS,Women,In a relationship,10th,3,0,0,1,no,2,4165314,4,More than 1M,5,28,11,34,53,26,11,83,7.3,7.3,62,Over 55,7,9,1,6,1,54,18,9,Tech,Consulting,1.8,1.5,2.2,2,0.3,2.9,0.3,2.8,2,2.8,0.5,2.7,0.2,6.5,12.2,7.4,13.5,0.8,2,0.9,4.7,1.5,2.3,1.85,1.7,0.25,2.45,0.25,2.35,Purposeful Striver,59,63,10,3,-13
206,HBS,Women,Married,25th,6,2,2,3,yes,1,940681,1,500K - 1M,4,17,95,95,57,38,95,24,3.6,3.6,30,0 - 35,4,10,5,5,13,53,5,2,Consulting,Tech,0,2.3,2.8,2.5,1.4,1.1,2.8,0.6,0.8,0.2,0.6,2.7,0,1.1,19.3,9.2,16.8,3.3,0.8,9.5,0.9,0,2,2.3,2.1,1.2,0.95,2.35,0.45,Striver,2,4,-16,-4,-20
207,Xilio,Women,Married,30th,7,1,1,2,yes,1,1637618,1,More than 1M,5,90,36,46,40,57,36,20,5.2,5.2,32,0 - 35,1,9,8,1,12,54,4,7,Other,Tech,0.3,2,0.8,2.6,1.8,2.4,0.8,0.8,0.4,1.5,2.4,2.3,2.7,1.9,17.1,2.8,17.2,4.1,1.6,2.6,1.3,0.25,2.05,0.7,2.15,1.45,2,0.65,0.65,Joy Seeker,2,1,7,14,-20
208,IWF,Men,In a relationship,5th,2,1,1,2,yes,1,3926830,3,More than 1M,5,14,25,53,19,75,25,62,8,8,52,45 - 55,0,10,3,1,3,49,10,0,Other,Consulting,2,1.3,2.6,2.2,1.6,1.3,1,1.2,0.2,2.1,0.5,0.7,1.7,7,11.1,8.6,15,3.8,0.9,3.4,2,1.65,2.33,2.15,1.85,1.35,1.1,0.85,1,Triumvirate,54,8,-21,-5,-6
209,HBS,Men,Single,25th,6,2,2,3,yes,1,4366787,4,More than 1M,5,82,48,45,33,53,48,50,8.5,8.5,63,Over 55,0,8,4,8,14,52,13,0,Consulting,Consulting,0,0.8,0.9,1.3,0.3,2.6,1.2,1.1,0.9,2.4,0.1,0.1,1.1,1,6.8,2.9,8.8,0.6,1.7,4,1.9,0,2,0.75,1.1,0.2,2.15,1,0.95,Striver,87,29,9,12,-23
210,Xilio,Men,Married,5th,2,2,2,3,yes,1,2785423,4,More than 1M,5,26,16,28,13,25,16,89,8.3,8.3,58,Over 55,1,2,0,5,10,55,7,6,Tech,Other,0.5,3,2.7,1.8,0.2,0.5,0.2,2.4,0.5,1.7,1.9,1.2,0.7,2.4,24.9,9.1,12.2,0.4,0.4,0.5,4,0.4,2.08,2.3,1.55,0.15,0.45,0.15,2,Triumvirate,1,55,18,-6,-9
211,HBS,Women,Single,10th,3,2,2,3,yes,1,2063350,2,More than 1M,5,88,23,98,39,56,23,22,5.7,5.7,42,35 - 45,9,4,0,3,6,50,11,8,Other,Consulting,1.6,1.3,2.3,0.5,0.3,2.8,1.5,1.4,0.5,2.7,2.9,0.4,1.9,5.9,10.7,7.5,3.2,0.7,1.9,5,2.3,1.35,2.27,1.9,0.4,0.25,2.35,1.25,1.15,Striver,19,3,8,3,-14
212,HBS,Men,Single,20th,5,3,3+,4,yes,1,2341987,3,More than 1M,5,85,32,35,64,57,32,37,6.4,6.4,52,45 - 55,0,3,9,10,9,55,16,9,Other,Tech,2.1,1.4,2.4,2,1.8,0.7,0.4,0.5,2.3,2.8,1,2.1,1.5,7.2,11.3,8,13.5,4.1,0.4,1.2,0.9,1.75,2.35,2,1.7,1.45,0.55,0.3,0.45,Joyful Striver,2,32,7,-22,19
213,Xilio,Men,Single,30th,7,2,2,3,yes,1,4626200,3,More than 1M,5,77,56,46,46,64,56,62,9,9,53,45 - 55,6,0,2,5,3,55,6,7,Healthcare,Healthcare,2,0.5,0.1,0.5,1.6,1,1.2,0.8,0,0.2,0.4,2,3,6.9,4.1,0.2,3.6,3.8,0.7,4,1.3,1.65,2.33,0.05,0.45,1.35,0.8,1,0.65,Triumvirate,53,10,-5,-19,-25
214,HBS,Men,Single,25th,6,4,3+,4,yes,1,4701399,4,More than 1M,5,69,93,61,94,89,93,43,9,9,69,Over 55,3,10,2,2,11,54,15,9,Consulting,Tech,0.7,2.4,2.9,2.1,0.7,2.3,1.1,1.5,1.7,1.2,1.7,0.1,2.9,3,19.9,9.6,13.9,1.6,1.5,3.5,2.5,0.55,2.11,2.4,1.75,0.6,1.9,0.9,1.25,Joyful Striver,44,74,-9,2,-9
215,Xilio,Women,Single,10th,3,4,3+,4,yes,1,101295,4,Less than 150K,1,70,62,45,24,26,62,70,2.9,2.9,60,Over 55,1,2,6,9,14,52,19,8,Other,Tech,2.1,2.1,2.2,0.7,1.9,1.2,2.3,0.4,1.1,0.1,2.7,2.5,1.9,7.4,17.3,7.3,4.6,4.5,0.8,7.7,0.7,1.8,2.36,1.8,0.55,1.6,1,1.95,0.35,Striver,90,83,-4,2,-23
216,HBS,Women,Single,5th,2,1,1,2,yes,1,773974,2,500K - 1M,4,37,77,64,37,28,77,22,4.3,4.3,38,35 - 45,3,8,7,1,12,48,15,6,Healthcare,Consulting,0.7,0.7,0.9,0.4,2.5,1.8,2.4,1.8,1.5,1,2.4,0.7,1.3,3.1,5.5,3,2.4,5.7,1.2,8,3.1,0.6,2.12,0.75,0.3,2.05,1.5,2,1.55,Joyful Striver,32,34,11,-22,0
217,IWF,Men,Married,40th+,9,0,0,1,no,2,3475376,2,More than 1M,5,19,37,66,10,70,37,40,6.8,6.8,37,35 - 45,5,8,8,11,11,50,3,2,Tech,Consulting,1,0.2,2.5,0.5,0.1,1.3,0.5,1.7,1.7,1.6,1.9,1.3,1.5,3.9,2.1,8.3,3.3,0.3,0.9,1.5,2.8,0.8,2.16,2.05,0.4,0.1,1.1,0.4,1.4,Flourisher,70,87,-11,-4,-11
218,IWF,Women,In a relationship,15th,4,1,1,2,yes,1,3642600,4,More than 1M,5,92,85,57,60,69,85,60,7.2,7.2,74,Over 55,7,4,9,6,6,55,2,1,Other,Tech,2.2,2,0.8,0,1.5,2.2,1.1,2.1,0.9,2.7,0.9,2,2,7.7,17,2.8,0,3.5,1.5,3.7,3.6,1.85,2.37,0.7,0,1.25,1.85,0.9,1.8,Joyful Striver,32,55,9,-14,10
219,IWF,Women,In a relationship,30th,7,2,2,3,yes,1,855816,1,500K - 1M,4,30,68,18,34,96,68,84,3.8,3.8,35,0 - 35,2,5,6,2,13,54,13,8,Tech,Finance,1.9,2,2.6,2.2,2.1,0.7,1.1,2.8,0.9,2.5,1.6,1.3,0.3,6.8,16.4,8.7,14.4,4.8,0.5,3.7,4.7,1.6,2.32,2.2,1.8,1.7,0.55,0.95,2.35,Striver,68,32,2,19,6
220,Xilio,Women,Single,25th,6,4,3+,4,yes,1,404705,2,250K – 500K,3,18,26,98,32,87,26,57,3.5,3.5,36,35 - 45,6,8,8,6,12,54,7,7,Other,Other,2.5,0.8,0.3,2.2,0.8,0.2,0.5,2.7,2.2,0.4,0.3,1.3,1,8.6,6.8,1.1,14.6,1.8,0.1,1.5,4.6,2.1,2.42,0.3,1.85,0.65,0.15,0.4,2.3,Purpose Seeker,55,50,-19,-23,6
221,HBS,Men,Married,30th,7,3,3+,4,yes,1,3747270,4,More than 1M,5,36,72,74,34,29,72,57,8.6,8.6,71,Over 55,2,3,2,11,1,48,11,1,Healthcare,Tech,2,2.9,2.1,1.5,0.9,0.9,2.4,2.8,2.6,0.3,2,0.2,0.2,6.9,23.8,7,10.3,2.2,0.6,8,4.7,1.65,2.33,1.75,1.3,0.75,0.75,2,2.35,Striver,75,7,6,-4,-22
222,Xilio,Men,Single,25th,6,1,1,2,yes,1,1886926,2,More than 1M,5,71,25,89,61,95,25,11,4.3,4.3,39,35 - 45,5,8,5,6,9,51,10,7,Finance,Healthcare,1.7,0.5,1.6,0.5,1.8,1.4,2.1,0.7,0.6,1.8,2.2,1.2,0.2,6.1,3.8,5.4,3.2,4.3,0.9,7.1,1.2,1.4,2.28,1.35,0.4,1.55,1.2,1.75,0.6,Purposeful Striver,56,8,-15,18,-8
223,IWF,Women,In a relationship,20th,5,0,0,1,no,2,1688845,4,More than 1M,5,98,56,16,24,46,56,87,5.3,5.3,78,Over 55,9,0,4,9,6,54,0,4,Finance,Finance,0.3,1.3,0.3,0.3,2.7,0.5,0.6,0.4,0.3,1.6,2.9,2.3,0.6,1.8,10.8,1,1.7,6.3,0.3,1.9,0.7,0.25,2.05,0.25,0.2,2.25,0.4,0.5,0.35,Joy Seeker,17,65,-16,-24,-7
224,IWF,Men,In a relationship,30th,7,2,2,3,yes,1,2056793,4,More than 1M,5,28,33,77,62,39,33,12,4.6,4.6,60,Over 55,1,0,0,8,4,51,2,0,Other,Finance,1.1,2.8,0.7,0.1,2.4,1.1,1.1,0.9,2.7,0.8,0.8,2.7,1.5,4.3,23.6,2.4,0.4,5.7,0.7,3.7,1.5,0.9,2.18,0.6,0.05,2,0.9,0.9,0.75,Joy Seeker,38,57,-17,-2,17
225,IWF,Men,Married,1st,1,4,3+,4,yes,1,584594,4,500K - 1M,4,80,46,83,92,10,46,94,3.4,3.4,75,Over 55,6,1,3,9,7,55,19,5,Other,Consulting,0.8,1.3,0,0.5,1.7,1.2,0.3,2.7,1,2.7,0.1,1.2,2.4,3.4,10.5,0.1,3.3,4.1,0.8,1.1,4.5,0.65,2.13,0.05,0.4,1.45,1,0.25,2.25,Triumvirate,24,67,-12,8,9
226,HBS,Women,Married,40th+,9,4,3+,4,yes,1,177718,2,150K – 250K,2,39,86,48,11,48,86,52,3.7,3.7,38,35 - 45,10,10,6,10,9,53,8,1,Consulting,Finance,0.7,1.9,1.4,2.7,2.2,0.2,1.9,2.9,1.7,2.8,1.6,1.3,1.5,3.2,16,4.7,17.8,5.1,0.1,6.3,4.9,0.6,2.12,1.15,2.25,1.85,0.15,1.55,2.45,Joyful Striver,69,88,-13,1,14
227,Xilio,Men,Single,25th,6,2,2,3,yes,1,4869567,4,More than 1M,5,47,23,79,57,70,23,89,8.9,8.9,76,Over 55,1,7,3,0,3,49,3,7,Finance,Tech,2.9,1.2,0.9,0.7,1.1,1.7,0.4,2.6,1.1,1.2,2.1,2.1,1,9.8,9.9,3,4.8,2.6,1.2,1.2,4.3,2.45,2.49,0.75,0.6,0.9,1.45,0.3,2.15,Flourisher,70,87,-1,15,-12
228,IWF,Men,Single,30th,7,2,2,3,yes,1,3534473,2,More than 1M,5,36,31,14,57,88,31,41,6.7,6.7,41,35 - 45,0,2,6,0,14,55,13,9,Consulting,Tech,1.2,0.8,1.8,1.1,1.9,2.7,3,0.3,0.4,2.7,2.4,2.8,0.2,4.5,6.9,6,7.1,4.5,1.8,9.9,0.6,1,2.2,1.5,0.9,1.6,2.2,2.45,0.3,Joy Seeker,86,59,-24,-25,7
229,IWF,Men,Married,40th+,9,0,0,1,no,2,2234664,4,More than 1M,5,68,70,65,21,84,70,53,5.3,5.3,74,Over 55,10,5,4,2,9,51,1,1,Consulting,Tech,2.7,3,0.9,0.3,1.4,0.5,2.3,2.8,1.8,1.2,0.6,0.8,1.7,9,24.6,3,2.1,3.3,0.3,7.8,4.7,2.25,2.45,0.75,0.25,1.15,0.4,1.95,2.35,Purpose Seeker,11,72,9,-18,-12
230,Xilio,Women,Single,10th,3,3,3+,4,yes,1,4371747,4,More than 1M,5,25,43,80,86,28,43,42,8.6,8.6,61,Over 55,0,10,8,1,5,51,2,0,Healthcare,Consulting,1.9,1.2,0.9,0.7,0.6,1.8,1.2,1.3,1.6,2.2,0.8,1.3,0.8,6.7,10.2,3,4.4,1.3,1.2,3.9,2.1,1.6,2.32,0.75,0.55,0.45,1.5,1,1.05,Joyful Striver,16,54,-19,-3,8
231,Xilio,Women,In a relationship,40th+,9,2,2,3,yes,1,1549163,4,More than 1M,5,13,88,42,88,31,88,74,4.5,4.5,78,Over 55,8,0,2,3,8,53,8,2,Other,Other,2.4,2.7,2.2,1.6,2.1,2,1.7,0,0.6,1.4,1.5,2.4,1.8,8.2,22.4,7.4,10.4,4.9,1.3,5.8,0,2,2.4,1.85,1.3,1.75,1.65,1.45,0,Triumvirate,73,67,-5,12,-22
232,IWF,Women,Married,15th,4,1,1,2,yes,1,4597920,4,More than 1M,5,41,13,19,46,46,13,52,8.6,8.6,70,Over 55,8,5,7,10,15,55,9,9,Tech,Finance,1.5,0.7,0.1,1.8,1.7,1.3,2.7,1.3,1.4,0.4,1,1.8,2.9,5.5,5.7,0.5,12.2,3.9,0.8,9.1,2.2,1.25,2.25,0.1,1.5,1.4,1.05,2.3,1.1,Purpose Seeker,59,51,-8,-20,-2
233,HBS,Women,In a relationship,30th,7,3,3+,4,yes,1,716976,3,500K - 1M,4,77,60,29,40,92,60,52,3.9,3.9,50,45 - 55,0,10,1,10,6,51,2,5,Other,Tech,1.7,0.6,2.7,0.7,1.1,2.1,1.7,0.1,2.4,2.8,2.6,0.3,0.3,6.2,5.3,9,4.9,2.5,1.4,5.5,0.2,1.45,2.29,2.25,0.6,0.9,1.75,1.4,0.1,Joy Seeker,70,8,-23,-4,3
234,Xilio,Men,Single,25th,6,1,1,2,yes,1,2502189,4,More than 1M,5,12,40,17,20,57,40,81,5.7,5.7,62,Over 55,5,6,8,11,1,51,5,4,Healthcare,Healthcare,1.5,0.1,2.6,0.2,2.7,1.2,0.5,1.6,1.8,1.4,1.4,1.9,0.6,5.4,0.8,8.5,1.2,6.4,0.8,1.7,2.7,1.25,2.25,2.15,0.15,2.3,1.05,0.45,1.35,Joyful Striver,80,34,16,-1,-7
235,Xilio,Women,In a relationship,15th,4,1,1,2,yes,1,3171259,3,More than 1M,5,64,98,70,52,93,98,57,7.9,7.9,54,45 - 55,7,8,7,5,9,51,16,6,Tech,Healthcare,0.6,2,2,1.2,0.1,1.5,1.1,1,0.3,2.2,2.4,0.6,1.4,2.8,16.3,6.7,7.8,0.1,1,3.8,1.7,0.5,2.1,1.65,1,0.05,1.25,0.95,0.85,Triumvirate,3,35,13,-8,-20
236,HBS,Women,Married,10th,3,2,2,3,yes,1,147796,1,Less than 150K,1,71,20,37,95,75,20,65,3.5,3.5,35,0 - 35,9,0,10,8,5,51,5,3,Consulting,Tech,2.2,1.1,1.8,0.7,0.9,0,2.5,1.4,1.6,1.1,1.7,1.5,2.9,7.5,9.2,5.9,4.7,2.2,0,8.4,2.4,1.8,2.36,1.5,0.6,0.8,0,2.1,1.2,Triumvirate,20,88,15,-9,7
237,Xilio,Women,In a relationship,5th,2,3,3+,4,yes,1,1271082,1,More than 1M,5,86,25,58,93,89,25,76,3.5,3.5,34,0 - 35,0,1,8,11,6,55,19,1,Healthcare,Consulting,0.8,2.6,2.7,0.7,0.2,2.1,1.9,1.8,2.1,0.1,2.3,1.6,2.3,3.5,21.6,8.9,4.4,0.4,1.4,6.4,3.1,0.7,2.14,2.25,0.55,0.15,1.75,1.6,1.55,Purposeful Striver,59,78,-15,-14,14
238,IWF,Men,Single,10th,3,2,2,3,yes,1,4922680,2,More than 1M,5,78,12,71,27,98,12,56,9,9,36,35 - 45,2,4,3,4,3,52,19,3,Other,Tech,0.1,1.4,0.6,2.9,2.3,2,2,2.6,2.4,0.3,1,2.6,2.7,1.2,11.8,1.9,19.2,5.4,1.3,6.5,4.3,0.05,2.01,0.45,2.4,1.9,1.65,1.65,2.15,Purpose Seeker,36,32,13,-20,-7
239,Xilio,Men,Married,1st,1,1,1,2,yes,1,4922306,3,More than 1M,5,89,89,64,39,16,89,52,8.6,8.6,55,45 - 55,1,2,7,4,7,51,14,0,Consulting,Finance,1.9,2.9,0.2,1.8,2.1,0.1,2.6,2,1.9,1.5,2.5,1.4,1,6.8,24.2,0.8,12.3,4.9,0.1,8.7,3.3,1.6,2.32,0.2,1.55,1.75,0.1,2.15,1.65,Flourisher,19,46,-2,0,-25
240,HBS,Men,In a relationship,1st,1,2,2,3,yes,1,4144639,1,More than 1M,5,16,50,37,15,34,50,83,8.4,8.4,31,0 - 35,5,10,9,10,7,55,14,8,Finance,Healthcare,0.5,0.6,0.7,1.7,1,1.1,2.7,1.3,0.5,2.1,0.8,0.8,3,2.6,4.6,2.4,11.1,2.3,0.7,8.9,2.2,0.45,2.09,0.6,1.4,0.85,0.9,2.25,1.1,Flourisher,90,16,20,1,-21
